"Question_Content","Option1","Option2","Option3","Correct"
"Output of loop with break at i=3","1 2 2003","0 1 2","0 1 2 3","0 1 2"
"Output of loop with continue at i=3","0 1 2 3 4","0 1 2 4","1 2 3 4","0 1 2 4"
"In while loop, condition is checked:","Before every iteration","After every iteration","Only once","Before every iteration"
"Default step of range()?","1","0","-1","1"
"How to create infinite while loop?","while False","while 0","while True","while True"
"Which moves to next iteration?","pass","stop","continue","continue"
"Output of continue inside while example","1","2","3","3"
"Output of for i in range(3): print('Hello')","Hello Hello","Hello Hello Hello","No output","Hello Hello Hello"
"Correct use of break?","break","if condition","break inside loop","for i in range(10): break"
"How can you terminate for loop?","continue","exit","break","break"
"Which loop executes at least once?","while","for","do-while","do-while"
"Output of for i in range(2,5) print(i)","0 1 2","1 2 3 4 5","2 3 2004","2 3 4"
"range(3,10,2) means:","3–10 step1","3–10 step2","3–9 step2","3–9 step2"
"How many times loop runs: for i in range(5)","4","6","5","5"
"Best loop for list iteration?","while","for","do-while","for"
"Output of x=5 while x>0 print(x); x-=1","1 2 3 4 5","5 4 3 2 1","5 4 3 2","5 4 3 2 1"
"Which skips remaining loop code?","continue","skip","pass","continue"
"Output of while + break at i=3","1","2","1 2","1 2"
"Which creates a list?","list()","[]","Both A and B","Both A and B"
"Access first element of list?","my_list[0]","my_list[1]","my_list[-1]","my_list[0]"
"Add element to end of list?","insert()","append()","extend()","append()"
"Difference: list vs array?","Lists fixed; arrays dynamic","Lists same-type; arrays mixed","Lists mixed types; arrays homogeneous","Lists mixed types; arrays homogeneous"
"Which module provides arrays?","math","collections","array","array"
"What is output of my_list=[1,2,3]; print(my_list[2])?","1","2","3","3"
"How can you delete the third element from a list?","my_list.remove(3)","my_list.pop(2)","del my_list[3]","my_list.pop(2)"
"Which is true about lists in Python?","They are immutable","They are mutable","They must contain same type","They are mutable"
"Which method combines two lists?","concat()","combine()","extend()","extend()"
"Which data type is better for heavy numerical computation?","List","Array","Dictionary","Array"
"How to find length of a list?","my_list.len()","len(my_list)","count(my_list)","len(my_list)"
"Which creates a list?","list()","[]","Both A and B","Both A and B"
"Which is correct about lists & arrays?","Arrays faster for math operations","Lists use less memory","Lists cannot mix data types","Arrays faster for math operations"
"Result of [1,2] + [3,4]?","[1,2,3,4]","[4,6]","[3,4,1,2]","[1,2,3,4]"
"When use list over array?","Mixed-type data","Large numeric data","Critical performance tasks","Mixed-type data"
"Which operation is NOT in-place?","sorted()","sort()","reverse()","sorted()"
"Correct array creation with array module?","array('i',[1,2,3])","[1,2,3]","array([1,2,3])","array('i',[1,2,3])"
"What does my_list[:3] return?","[1,2,3]","[1,2,3,4]","[2,3,4]","[1,2,3]"
"Check if item exists in list?","item in my_list","my_list.has(item)","my_list.contains(item)","item in my_list"
"Which is NOT valid list method?","size()","index()","count()","size()"
"What does insert() do?","Adds at specific index","Removes index","Adds at end","Adds at specific index"
"Access elements from end of list?","Negative indices","Positive indices","len()","Negative indices"
"Which is true about slicing?","Returns new list","Modifies original","Only works on lists","Ignores negative indices","Returns new list"
"Output of list(range(1,5))?","[1,2,3,4]","[1,2,3,4,5]","[0,1,2,3,4]","[1,2,3,4]"
"List method for position of element?","index()","position()","find()","index()"
"Which creates empty tuple?","()","{}","[]","()"
"Tuples are:","Immutable","Mutable","Mutable if int","Mutable if string","Immutable"
"Difference between tuple & list?","Lists mutable, tuples immutable","Lists immutable, tuples mutable","Lists use ()","Tuples faster","Lists mutable, tuples immutable"
"Which is TRUE about sets?","Sets mutable","Allow duplicates","Ordered","Use indexing","Sets mutable"
"Output of (1,2,3)[1]?","2","1","3","2"
"Add element to set?","add()","append()","insert()","add()"
"Remove element safely from set?","discard()","remove()","delete()","pop()","discard()"
"A={1,2,3}, B={2,3,4} → A & B","{2,3}","{1,2,3,4}","{1}","{2,3}"
"Method to find length of tuple?","len()","length()","size()","len()"
"Tuples used for:","Fixed heterogeneous data","Frequent modification","Math operations","Only same-type data","Fixed heterogeneous data"
"Invalid tuple operation?","append()","len()","index()","count()","append()"
"Result of (1,2,3)+(4,5)?","(1,2,3,4,5)","(5,7,8)","(4,5)","(1,2,3,4,5)"
"Sets useful for:","No duplicates","Ordered data","Index access","Modify elements directly","No duplicates"
"Clear entire set?","clear()","remove()","delete()","discard()","clear()"
"A={1,2,3,4},B={3,4,5,6}→A-B","{1,2}","{3,4,5,6}","{5,6}","{1,2}"
"Check subset?","issubset","union","difference","intersection","issubset"
"Iterate elements of set?","for loop","while","set.iter()","iterate()","for loop"
"Output of (5,10,15)*2","(5,10,15,5,10,15)","(10,20,30)","(10,15,20)","(5,10,15,5,10,15)"
"What does set.pop() do?","Removes random element","Removes last","Error if empty","Adds element","Removes random element"
"True about tuples?","Defined using ()","Elements modifiable","Slower than lists","Use more memory","Defined using ()"
"Convert list to tuple?","tuple()","convert()","tuple[]","list()","tuple()"
"Output of len({1,2,2,3})?","3","4","2","3"
"Set remove with error if missing?","remove()","discard()","delete()","pop()","remove()"
"Create empty dictionary?","{}","[]","set()","()","{}"
"Dictionary keys must be:","Unique","Mutable","Sorted","Mutable","Unique"
"Output of {'a':1,'b':2}['b']","2","a","1","2"
"Add key/value to dict?","assign new key","add()","append()","insert()","assign new key"
"What does get() do?","Return value if exists, else None","Adds key","Removes key","Clears dict","Return value if exists, else None"
"Output of 'c' in my_dict?","FALSE","TRUE","None","TRUE"
"Remove key/value?","pop()","discard()","delete()","remove()","pop()"
"What does my_dict.clear() do?","Clears all pairs","Removes one pair","Removes age key","Error","Clears all pairs"
"Which can loop through dictionary keys?","for key in dict.keys()","for key in dict.values()","for key in dict.items()","for key in dict.keys()"
"Dictionary keys must be:","Unique","Lists","Any data type","Unique"
"To get all values from a dictionary:","dict.values()","dict.items()","dict.keys()","dict.values()"
"Which method returns all key-value pairs?","dict.items()","dict.values()","dict.keys()","dict.items()"
"Output of updating dict['a']=10","{'a':10,'b':2}","{'a':1,'b':2}","{'a':1,'b':10}","{'a':10,'b':2}"
"Which causes error in dictionary?","Mutable keys","Duplicate keys","Duplicate values","Duplicate keys"
"Result of len({'a':1,'b':2,'c':3})","3","1","2","3"
"Which gets value & sets default if missing?","setdefault()","get()","items()","setdefault()"
"Which updates multiple key-value pairs?","update()","append()","extend()","update()"
"Result of merging dict1.update(dict2)","{'a':1,'b':3,'c':4}","{'a':1,'b':2,'c':4}","{'a':1,'b':2}","{'a':1,'b':3,'c':4}"
"Safely remove key-value pair if missing?","pop()","remove()","discard()","popitem()","discard()"
"Create dict from sequence of keys?","fromkeys()","dict()","zip()","fromkeys()"
"What does dict.popitem() return?","Random pair","First key-value","Last key-value","Random pair"
"Retrieve dictionary keys?","dict.keys()","dict.items()","dict.values()","dict.keys()"
"Add an element to dictionary?","dict['key']=value","dict.add()","dict.append()","dict['key']=value"
"Get all key-value pairs as tuples?","items()","keys()","values()","items()"
"Output of dict={}; dict[1]='apple'","{1:'apple'}","{'1':'apple'}","Error","{1:'apple'}"
"LIFO principle corresponds to:","Stack","Queue","Array","Stack"
"Method to add element to stack?","push()","add()","enqueue()","append()","append()"
"pop() in a stack does what?","Removes & returns top","Returns top only","Clears stack","Adds element","Removes & returns top"
"Method to remove element from queue?","dequeue()","push()","pop()","remove()","dequeue()"
"Check if stack empty?","len(stack)==0","stack.is_empty()","stack.empty()","stack.count()==0","len(stack)==0"
"Time complexity of enqueue/dequeue in linked list?","O(1)","O(n)","O(log n)","O(n²)","O(1)"
"What is true about queues?","FIFO","LIFO","Random access","No duplicates","FIFO"
"Which raises error when popping empty stack?","pop()","top()","peek()","is_empty()","pop()"
"Output of stack append example","[1]","[2]","[]","[1,2]","[1,2]"
"How to implement queue using two stacks?","Use input & output stacks","Use push & pop","Reverse stack","Use single stack","Use input & output stacks"
"Output of deque([1,2,3]).popleft()","[2,3]","[1,2,3]","[3,2]","[2,3]"
"How to initialize a queue?","All of the above","list()","deque()","queue.Queue()","All of the above"
"What is a singly linked list?","Nodes with next pointer","Nodes with prev & next","Collection of arrays","Type of stack","Nodes with next pointer"
"If accessing next of last node?","None","IndexError","Empty list","Loops back","None"
"How to move to next node in linked list?","next pointer","index","stack","recursion","next pointer"
"Insert at beginning of linked list takes:","O(1)","O(n)","O(log n)","O(n²)","O(1)"
"Output if head=None → head.next","Error","None","0","1","Error"
"Purpose of tail pointer?","Points to last element","Points to first","Points to middle","Not needed","Points to last element"
"Operation requiring O(n) time in linked list?","Insert at tail","Insert at head","Delete node","Access head","Insert at tail"
"Which DS can implement stack?","List","Tuple","Dict","Set","List"
"What represents stack overflow?","Push on full stack","Pop empty stack","Access top element","None","Push on full stack"
"Application of stacks?","Undo functionality","Queue processing","Graph traversal","Sorting","Undo functionality"
"Difference between stack & queue?","Stack=LIFO, Queue=FIFO","Stack allow duplicates","Stack=FIFO","No difference","Stack=LIFO, Queue=FIFO"
"Starting pointer of linked list?","Head","Tail","Next","Previous","Head"
"Not a queue property?","LIFO","FIFO","Enqueue/Dequeue","Dynamic size","LIFO"
"NOT reason to use functions?","Code duplication","Reusability","Organization","Modularity","Code duplication"
"Advantage of functions?","Reusable & testable","More complex","Shorter code","Slow program","Reusable & testable"
"Functions break program into:","Procedures","Objects","Statements","Variables","Statements"
"Benefit of functions?","Avoid duplication","Reduce memory","Improve runtime","Math only","Avoid duplication"
"When use functions?","Repeat same code","Optimize speed","Simple tasks","None","Repeat same code"
"What does a function call do?","Executes function code","Defines function","Initializes function","Changes function name","Executes function code"
"Convert string to int?","int()","float()","str()","int()"
"Function for square root?","math.sqrt()","sqrt()","square_root()","math.sqrt()"
"Purpose of float()?","Convert to float","Convert to string","Round number","Convert float → int","Convert to float"
"Correct way to import math?","import math","import math()","from math import *","import math_functions","import math"
"What is function composition?","Calling functions in sequence","Combining functions","Defining function inside another","Recursive function","Calling functions in sequence"
"How to define a new function?","def name()","import module","add keyword","variable assignment","def name()"
"Which keyword is used to define a function?","function","define","def","def"
"What is a return statement used for?","Stop loop","Exit program","Send value back from function","Send value back from function"
"What happens if a function has no return statement?","Returns None","Returns 0","Returns error","Returns None"
"What are arguments?","Values passed to a function","Variables inside function","Return values","Values passed to a function"
"Which is a built-in function?","print()","input()","len()","All of the above"
"What is scope?","How many lines function has","Area where variable is accessible","Indentation","Area where variable is accessible"
"Local variables exist in:","Entire program","Only inside function","Only inside loops","Only inside function"
"What keyword creates an empty function?","skip","blank","pass","pass"
"Docstrings used for?","Store data","Document functions","Call functions","Document functions"
"What does lambda create?","Anonymous function","Loop","Class","Anonymous function"
"Syntax of lambda?","lambda x: x+1","lambda(x) return x+1","lambda: x -> 1","lambda x: x+1"
"Which is NOT a benefit of functions?","Readability","Reusability","Modularity","Increases memory usage","Increases memory usage"
"What happens on recursion?","Function calls itself","Function restarts program","Deletes variables","Function calls itself"
"Base case in recursion prevents:","Infinite loops","Variable creation","Function definition","Infinite loops"
"Recursion replaces which structure?","Loops","Variables","Modules","Loops"
"Factorial commonly solved using:","Recursion","Classes","Sets","Recursion"
"Which is TRUE?","Recursion must have base case","Recursion runs faster","Recursion always simpler","Recursion creates lists","Recursion must have base case"
"What is stack overflow?","Too many recursive calls","Too many lists","Too many modules","Too many recursive calls"
"Recursive sum of n numbers?","sum(n)","add(n)","sum(n-1)+n","sum(n-1)+n"
"Which is faster usually?","Recursion","Iteration","Both same","None","Iteration"
"Which function opens a file?","open()","file()","openfile()","open()"
"Which opens a file for reading?","'w'","'r'","'a'","'r'"
"Which opens a file for writing?","'r'","'x'","'w'","'w'"
"Append mode does what?","Overwrite file","Create new only","Add at end","Add at end"
"What does file.close() do?","Deletes file","Saves & closes file","Clears file","Saves & closes file"
"How to read all file content?","read()","getline()","readfile()","read()"
"Which reads line-by-line?","readline()","read()","get()","readline()"
"What is file handling used for?","Math operations","Store & retrieve data","Import modules","Store & retrieve data"
"Correct syntax: f=open('a.txt','r')","YES","NO","Error","YES"
"file.write() works in which mode?","r","w","r+","w"
"What happens if file missing in read mode?","Creates file","Error","Writes blank","Ignores","Error"
"Which closes file automatically?","with open()","close() only","import file","global","with open()"
"Write mode does what to existing file?","Deletes file","Appends data","Overwrites file","Prevents writing","Overwrites file"
"readlines() returns:","String","List of lines","Number of lines","List of lines"
"What does exception handling do?","Stops program always","Ignores errors","Handles errors safely","Breaks loop","Handles errors safely"
"What encloses risky code?","catch","except","try","try"
"What handles the error?","handle","except","raise","except"
"Which block always executes?","finally","except","try","finally"
"What does raise do?","Ignore error","Create new error","Stop except block","Restart program","Create new error"
"What is ZeroDivisionError?","Divide string","Divide by 0","Divide list","Divide negative","Divide by 0"
"Which catches any error?","except","try","except:","except Exception","except"
"What is TypeError?","Wrong type operation","Missing file","Module not found","List empty","Wrong type operation"
"Which handles specific error?","except:","except ValueError","except all","finally","except ValueError"
"What is debugging?","Removing variable","Fixing errors","Running code fast","Adding comments","Fixing errors"
"print() helps in debugging by:","Showing variable values","Stopping program","Adding docs","Hiding output","Showing variable values"
"What is syntax error?","Error during execution","Error in grammar of code","Error in output","Runtime halting","Error in grammar of code"
"What is logical error?","Mistake in thinking","Crash program","Syntax incorrect","None","Mistake in thinking"
"What is used to stop execution for debugging?","pause","stop","breakpoint","halt","breakpoint"
"Which tool helps debugging?","pdb","pip","math","json","pdb"
"What is runtime error?","Detected during execution","Compile-time error","Always syntax error","Always logical","Detected during execution"
"Which module provides debugging tools?","pdb","sys","json","pdb"
"What does a breakpoint do?","Stops execution","Deletes variables","Compiles code","Runs forever","Stops execution"
"What does try-except help prevent?","Compilation","Program crash","Loops","File creation","Program crash"
"What is the output of int('10')?","'10'","10.0","10","10"
"What does float('5') return?","5","5.0","'5.0'","5.0"
"Which conversion is NOT valid?","int('10')","str(10)","int('ten')","float(10)","int('ten')"
"Which keyword handles exceptions?","except","error","handle","try","except"
"What happens if no exception occurs?","except runs","finally skipped","try block runs normally","Program stops","try block runs normally"
"What is indentation used for?","Decorations","Syntax structure","Comments","Output","Syntax structure"
"IndentationError occurs when:","Indentation wrong","Variable missing","File missing","Math error","Indentation wrong"
"Python block begins after:","semicolon","curly braces","colon","comma","colon"
"Which is correct indentation?","if x>5: print('hi')","if x>5:\n print('hi')","if x>5\nprint('hi')","None","if x>5:\n print('hi')"
"What is the default indentation size?","4 spaces","2 spaces","1 tab","6 spaces","4 spaces"
"What causes logic error?","Syntax mistake","Wrong code logic","Indentation problem","Hardware issue","Wrong code logic"
"What is slicing?","Taking part of string/list","Dividing memory","Breaking loops","Removing file","Taking part of string/list"
"Slice s[:3] does what?","Last 3 chars","First 3 chars","Skip 3 chars","Error","First 3 chars"
"Negative slicing s[-1] returns:","First element","Middle","Last element","None","Last element"
"Convert string to uppercase?","upper()","UPCASE()","uppercase()","toUpper()","upper()"
"Replace substring?","replace()","swap()","change()","edit()","replace()"
"Find substring index?","index()","position()","locate()","findpos()","index()"
"Reverse string?","s[::-1]","reverse(s)","rev(s)","s[-1:1]","s[::-1]"
"Check alphanumeric?","isalnum()","isalpha()","isdigit()","isalphanum()","isalnum()"
"Which loops over string characters?","for char in string","foreach string","loop(string)","repeat string","for char in string"
"Immutable type?","String","List","Set","Dictionary","String"
"Mutable type?","Tuple","String","List","Integer","List"
"Join list of strings?","join()","concat()","merge()","combine()","join()"
"Split string into list?","split()","break()","divide()","separate()","split()"
"Remove whitespace?","strip()","trim()","cut()","clean()","strip()"
"Check if string starts with substring?","startswith()","begin()","first()","start()","startswith()"
"Inheritance allows:","Reuse of code","Slower code","Errors","More memory","Reuse of code"
"Base class also called:","Parent","Child","Sibling","Friend","Parent"
"Which symbol used for inheritance?","-","=","()","inherits","()"
"Which defines a class?","class","def","object","struct","class"
"How define object?","o = MyClass()","object MyClass","new MyClass","call MyClass","o = MyClass()"
"__init__() is:","Constructor","Destructor","Variable","Operator","Constructor"
"self refers to:","Module","Object instance","Class only","Parent class","Object instance"
"Which inheritance type supported?","Single","Multiple","Hybrid","All of the above","All of the above"
"Which prevents overriding?","private","protected","final","None","None"
"super() does what?","Calls parent class methods","Calls child methods","Deletes object","Creates class","Calls parent class methods"
"Polymorphism means:","Many forms","Many loops","Many classes","Many objects","Many forms"
"Encapsulation means:","Hide data","Show data","Delete data","Sort data","Hide data"
"Private variables start with:","_","__","@@","none","__"
"Which keyword defines method inside class?","class","def","object","init","def"
"Destructor method name?","__delete__","__destroy__","__del__","del()","__del__"
"What is OOP?","Object Oriented Programming","Output Operation Process","Online Object Program","Optical Programming","Object Oriented Programming"
