Which of the following is square matrix?,,,,,(c) ?? = [ ?? ?? ?? ?? ]
Which of the following is diagonal matrix?,,,,,(a) ?? = [ ?? ?? ?? ?? ]
Which of the following is upper triangular matrix?,,,,,(d) ?? = [ ?? ?? ?? ?? ]
Which of the following is Lower triangular matrix?,,,,,(c) ?? = [ ?? ?? ?? ?? ]
Which of the following is scalar matrix?,,,,,(b) ?? = [ ?? ?? ?? ?? ]
"If ?? = [ 1 0 2 1 ], then ?? ?? = _____",,,,,(a) [ ?? ?? ?? ?? ]
Which of the following is Symmetric matrix?,,,,,(b) [ ?? ?? ?? ?? ]
Which of the following is Skew-Symmetric matrix?,,,,,(d) [ ?? ??? ?? ?? ]
"A square matrix ??, for which if det(??) is __, then matrix ?? is called Singular Matrix.",,,,,(c) zero
"A square matrix ??, for which if det(??) is __, then matrix ?? is called Non-Singular Matrix.",,,,,(b) always negative
If ?? = [ 1 0 2 4 ] and ?? = [ ?1 1 3 4 ] then A+B =____,,,,,(d) [ ?? ?? ??? ?? ]
"If ?? = [ 1 ?1 2 3 ] then, ?????? ?? = _____",,,,,(c) [ ?? ?? ??? ?? ]
"If ?? = [ 1 ?1 2 3 ] then, ?? ?1 = _____",,,,,(c) ?? ?? [ ?? ?? ??? ?? ]
| 2 4 ?2 4 2 ?4 3 1 ?3 | = ___,,,,,(b) 0
?? = [1 0] and ?? = [?1 1] then ?? ? ?? = ____,,,,,(a) [?? ???]
"If ?? = [ 1 ?1 2 3 ], then 3A=____",,,,,(d) [ ?? ??? ?? ?? ]
If ?? and B be two matrices of order ?? × ?? then ?? + ??______?? + ?,,,,,(a) =
If ?? is a matrix of order ?? × ?? and ?? is a matrix of order ?? × ?? then the product matrix ???? is a matrix of order,,,,,(c) ?? × ?
If ?? = [ 3 1 ?1 2 ]and ?? = [ 2 ?1 ?1 2 2 3 ] then BA=_____,,,,,(d) Not possible
"If ?? = [ 1 ?1 2 3 ], then minor of -1 is ___",,,,,(c) 2
"If ?? = [ 1 ?1 2 3 ], then cofactor of -1 is ___",,,,,(b) -2
A matrix is invertible if it is ______ matrix.,,,,,(b) non-singular
Inverse of matrix ?? = [ 1 2 3 4 5 6 7 8 9 ] is _____,,,,,(d) not possible
Find ?? ?1 for matrix ?? = [ 2 ?3 1 ?4 ],,,,,(c) ??? ?? [ ??? ?? ??? ?? ]
Let ?? = [??????] ??×?? and ?? = [??????] ??×?? be any two square matrices then,,,,,(a) ?? ?? + ?? ??
Let ?? = [??????] ??×?? and ?? = [??????] ??×?? be any two square matrices then (????) ?1 = _____,,,,,(d) ?? ????? ??
If ?? = [ 2 ?3 1 ?4 ] and ?? = [ 1 3 ?1 4 ] then (?? + ??) ?? = ____,,,,,(c) [ ?? ?? ?? ?? ]
| 1 1 ?1 4 | = ___,,,,,(a) 5
"|
4 1
?1 4
| = ___",,,,,(b) 17
?? ??? ?? ?? | = ___,,,,,(c) 2x 2
Which of the following is diagonal matrix?,,,,,(d) all of the above
Which of the following is the lower triangular matrix?,,,,,(d) both (a) and (b)
Which of the following is upper triangular matrix?,,,,,(c) neither (a) nor (b)
Which of the following is scalar matrix?,,,,,(a) [ ??? ?? ?? ?? ??? ?? ?? ?? ??? ]
If ?? = [ 2 1 ]??????? ?? ?? = ____,,,,,(a) [?? ??]
Which of the following is not a scalar matrix?,,,,,(b) [ ?? ?? ?? ?? ?? ?? ?? ?? ?? ]
Which of the following is not upper triangular matrix?,,,,,(d) both (a) and (b)
Which of the following is not a lower triangular matrix?,,,,,(a) [ ?? ?? ?? ?? ?? ?? ?? ?? ?? ]
Which of the following is not diagonal matrix?,,,,,(c) neither (a) nor (b)
Which of the following matrix is not singular matrix?,,,,,(a) [ ?? ?? ?? ?? ]
Which of the following matrix is not symmetric matrix?,,,,,"(c) [
?? ??? ??
?? ?? ??
??? ??? ?"
"Find the 5th term of the arithmetic progression 1, 4, 7, ….",,,,,(b) 13
Find the 2nd term of the AP whose 7th and 11th terms are respectively 37 and 57.,,,,,(b)12
"How many terms of the A.P. 1, 4, 7 ... are needed to give the sum 715?",,,,,(b) 24
"Find the 8th term of G.P 1, 4, 16, ...",,,,,(a) ?? × ?? ?
The sum of n terms of a G.P. with first term ‘??’ and common ratio ‘??’ is given by _____if ?? < 1,,,,,(d) ???? = ?? ( ????? ?? ????? )
"For what value of x, the numbers – 2/7, x, - 7/2 are in G.P.?",,,,,"(d) 1, -1"
"The 20th term of the G.P. 1, -1, 1,-1, ...",,,,,(b) -1
Sum of infinite terms of Geometric progression is ______,,,,,(a) ??? = ?? ????
"If a=10, d=6 then 20th term is...",,,,,(c) 124
"If a=3, r=3 then T5= ……",,,,,(b) 35
The fourth term of the sequence ???? = 5?? + 4 is ___.,,,,,(b) 24
The seventh term of the sequence ???? = ?? 2,,,,,(d) 49
Which of the following is not a progression?,,,,,"(a) 1,4,9,16,…"
"If the arithmetic progression has first term ?? and common difference ?? then the sequence is ??, ?? + ??, ?? + 2??, ?? + 3??, …the the nth term of the A.P. is _____.",,,,,(c) ?? + (?? ? ??)?
In arithmetic progression the common difference is defined as _____,,,,,(d) ?? = ????+?? ? ???
Which of the following is/are arithmetic progression?,,,,,"(b) 12,2,-8,-18,…"
"The seventh term of the sequence -9,-2,5,…",,,,,(c) 33
"Find the common difference in progression 0, 1 4 , 1 2 , 3 4 , …",,,,,(d) 1/4
The sum of the first n terms of the A.P. is defined as____,,,,,(b) ???? = ?? ?? [???? + (?? ? ??)??]
"The sequence 5,-10, 20, -40, 80,…is a geometric progression, in which first term is ___ and common ratio is ___.",,,,,"(d) 5,-2"
"If the G.P. ??, ????, ???? 2 , ???? 3 , … where, ?? is the first term and ?? is common ratio, then the nth term of the G.P. is _____",,,,,(b) ???? = ???? ????? .
"The common ratio of the G.P. 5, 25, 125,…",,,,,(a) 5
"Find next terms of 2,3, 9 2 , …",,,,,(c) 27/4
Find the sum of the series 1 + 1 2 + 1 4 + ? + ?,,,,,(b) 2
"Erin has 5 tops, 6 skirts and 4 caps from which to choose an outfit. In how many ways can she select one top, one skirt and one cap?",,,,,(a) 120
If one event with n outcomes occurs r times with repetition allowed then the number of ordered arrangements is ?,,,,,(d) ?? ?
In how many ways can 6 people be arranged in a row?,,,,,(c) 6!
"If an event can occur in m different ways, and following which another event can occur in n different ways, then the total number of occurrence of the events in the given order is _____",,,,,(b) m×n
"In a class of 10 Boys & 8 Girls, in how many ways, We can form a Couple (a Boy & a Girl)?",,,,,(d) 80
"If an event can occur in m different ways, or another event can occur in n different ways, then the total number of occurrence of the events in the given order is___",,,,,(c) m+n
"In a class of 10 Boys & 8 Girls, in how many ways, we can form a Monitor (a Boy or a Girl)?",,,,,(a) 18
. How many telephone connections can be allowed with 6 digits from the natural numbers 1 to 9 inclusive?,,,,,(a)?? ?
"Find the number of permutations of n items chosen r at a time, when repetition is not allowed ????????? 0 ? ?? ? ??.",,,,,(b) nPr = ??! (??)!
5P3=____,,,,,(d) 90
The number of permutations of n objects taken all at a time is____,,,,,(c) n!
How Many new Permutations of all letters of the word TUESDAY are possible?,,,,,(b) 7!
How many 3 letter words with or without meaning can be formed by word PENS when repetition is allowed?,,,,,(d) 64
Number of arrangements of n beads for forming a necklace is____,,,,,(a) (?????)! ?
Find the number of combinations of n items chosen r at a time.,,,,,(b) nCr = ??! ??!(?????)!
( 5 3 ) =_,,,,,(d) 10
30! 28! = ___,,,,,(b) 870
Find the number of ways in which 5 different beads can be arranged to form a necklace.,,,,,(c) 12
11C3=___,,,,,(d) 165
10C8=____,,,,,(b) 45
There are 6 candidates for 3 posts. In how many ways can the posts be filled?,,,,,(a) 120
"From among the 36 teachers in a school, one principal and one vice-principal are to be appointed. In how many ways can this be done?",,,,,(c) 1060
Ten students are participating in a race. In how many ways can the first 3 prizes be won?,,,,,(d) 720
The principal wants to arrange 5 students on the platform such that the boy SUNIL occupies the second position and such that the girl GITA is always adjacent to the girl NITA. How many such arrangements are possible?,,,,,(a) 12
How many different words can be formed with the letters of the word ‘BHARAT’?,,,,,(b) 360
"The number of different 6-digit numbers that are divisible by 10, which can be formed using the digits 1, 2, 7, 0, 9, 5?",,,,,(b) 120
In how many different ways can the letters of the word ‘THERAPY’ be arranged so that the vowels never come together?,,,,,(d) 3600
In how many different ways can the letters of the word ‘PRAISE’ be arranged?,,,,,(a) 720
In how many different ways can the letters of the word ‘BANKING’ be arranged?,,,,,(d) 2520
How many different ways can the letters in the word ATTEND be arranged?,,,,,(d) None of these
In how many different ways can the letters of the word ‘CYCLE’ be arranged?,,,,,(a) 60
"A committee of 5 members is to be formed out of 3 trainees, 4 professors and 6 research associates. In how many different ways can this be done if: The committee should have 2 trainees and 3 research associates?",,,,,(c) 60
In how many different ways can the letters of the word ‘OFFICES’ be arranged?,,,,,(a) 2520
"How many 3-digit numbers can be formed by using the digits 1, 3, 6 and 8, when the digits may be repeated any number of times?",,,,,(b) 64
180°=___,,,,,(d) -? radians
150°=_____radians,,,,,(b) ???? ?
"An angle ?? is to be _________, if it remains in quadrant number 1 i.e., 0 ° ? ?? ? 90°",,,,,(c) acute angle
An angle ?? is said to be ________if ?? = 90°,,,,,(d) right angle
"An angle is said to be _______,if it remains in quadrant number 2 i.e., 90° ? ?? ? 180°",,,,,(b) obtuse angle
"An angle ?? is said to be_______, if ?? = 180°",,,,,(a) Straight angle
"An angle ?? is said to be _______if it remains in quadrant number 3 and 4. i.e., 180° ? ?? ? 360°",,,,,(a) Reflexive angle
csc ?? = ______;,,,,,(a) ?? ?????? ?
sec ?? = ______,,,,,(b) ?? ?????? ?
cot ?? = ______,,,,,(c) ?? ?????? ?
3?? 2 = ______,,,,,(c) 270°
tan 3?? 2 = ______,,,,,(d) Not defined
csc ?? 3 = ______,,,,,(b) ?? ??
sec ?? = ______,,,,,(b) -1
sec ?? 3 = ______,,,,,(c) 2
cot ?? 6 = _______,,,,,(a) ??
sin(???) = ________,,,,,(c) ? ?????? ?
cos(???) = ________,,,,,(d) ?????? ?
sin ( ?? 2 ? ??) = _____,,,,,(d) ?????? ?
cos ( ?? 2 ? ??) = _____,,,,,(b) ?????? ?
tan ?? + tan ?? 1 ? tan ?? tan ?? = _______,,,,,(a) ??????(?? + ??)
tan ?? ? tan ?? 1 + tan ?? tan ?? = ______,,,,,(a) tan(?? + ??)
cot(?? + ??) = _________,,,,,(a) ?????? ???????? ????? ?????? ??+???????
cot(?? ? ??) = _________,,,,,(c) ?????? ?? ?????? ??+?? ?????? ????????? ?
csc(?? ? ??) = ________,,,,,(b) ?????? ??
sec(?? ? ??) = ___________,,,,,(d) ??????? ?
csc ?? ? sin ?? = ____,,,,,(b) 1
3?? 4 = ____,,,,,(c) 135°
2?? 3 = ____,,,,,(a) 120°
5?? 6 = ____,,,,,(b) 150°
3?? 2 = ____,,,,,(d) 270°
"If tan ?? = 2 3 , then cot ?? = ______",,,,,(b) ?? ?
"If ? ABC is right-angled at B, AB = 6 units, ?C = 30°, then AC is equal to______units.",,,,,(c) 12
"The value of (sec? + cosec?) when ? = 45 , is _______",,,,,(a) 2?2
"If in an experiment all possible outcomes are known in advance and none of the outcomes can be predicted with certainty, then such an experiment is called _______.",,,,,(b) Random experiment
The set consisting of all outcomes of a random experiment is called ________,,,,,(a) Sample Space
The outcomes of the random experiments are called the _______.,,,,,(b) Events
An event whose occurrence is inevitable (or certain) is called a _________,,,,,(d) Both (a) and (b)
"If an event E has only one sample point of a sample space, it is called a ______",,,,,(d) Both (a) and (b)
Two events are said to be________ when both cannot happen simultaneously in a single trial.,,,,,(b) mutually exclusive
Two or more events are said to be _______when the outcome of one does not affect and is not affected by the other.,,,,,(b) Independent Events
are those events in which the occurrence or non-occurrence of one event in any one trial affects the probability of other events in other trials.,,,,,(a) Dependent events
Events are said to be ______when one does not occur more often then the others,,,,,(c) Equally likely
Events are said to be ________when their totality includes all the possible outcomes of a random experiment.,,,,,(a) Exhaustive
The probability of an event is always between ______and ______.,,,,,"(c) 0,1"
The probability of happening and non-happening of an event is ____.,,,,,(c) 1
Find the probability that an odd number appears in a single toss of a fair die.,,,,,(b) 1/2
Find the probability of getting at least one head in two throws of unbiased coin.,,,,,(d) 3/4
Find the probability of getting no head in two throws of unbiased coin.,,,,,(a) 1/4
Find the probability of getting exactly one head in two throws of unbiased coin.,,,,,(b) 1/2
"If two events A and B are independent, the probability of occurrence of both is equal to ______of the individual probabilities of both the events.",,,,,(c) product
"If A and B are two events, the probability of occurrence of either A or B is______",,,,,(d) ??(?? ? ??) = ??(??) + ??(??) ? ??(?? ? ??)
If A and B are mutually exclusive events then ??(?? ? ??)= _______,,,,,(b) ??(??) + ??(??)
Simple events of a sample space are always_____.,,,,,(b) mutually exclusive
What is the size of the sample space of experiment of tossing two fair coins?,,,,,(d) 4
What is the size of the sample space of experiment of tossing three fair coins?,,,,,(d) 8
"If A is any event from the sample space S, then ??(??)is called the probability of A then P(S)=___",,,,,(a) 1
"If A is any event from the sample space S, then ??(??)is called the probability of A then ___ ? ??(??) ? ___",,,,,"(c) 0,1"
2 dice are thrown. Find the probability of getting an odd number on 1 and a multiple of 3 on the other.,,,,,(c) 11/36
2 dice are thrown. Find the probability of getting a sum less than 6.,,,,,(b) 5/18
2 dice are thrown. Find the probability of getting a sum more than 7.,,,,,(d) 5/12
2 dice are together. What is the probability that the sum of 2 numbers is divisible by 3 or by 4?,,,,,(c) 5/9
"In a class of 25 students with roll numbers 1 to 25, a student is picked up at random to answer a question. Find the probability that the roll number of the selected student is either multiple of 5 or 7.",,,,,(c) 8/25
2 unbiased dice are thrown. Find the probability that neither a doublet nor a total of 10 will appear,,,,,(a)7/9
"In a single throw of 2 dice, find the probability of getting a total of 11.",,,,,(b) 1/18
"In a single throw of 2 dice, the probability of getting a total of 7.",,,,,(c) 1/6
"If A={1,2,3} and B={3,4,5}, what is the intersection of sets A and B?",,,,,(b) {3}
Which of the following is the correct representation of the union of sets XXX and YYY?,,,,,(c) X U Y
"If U={1,2,3,4,5} is the universal set and A={1,3,4}, what is the complement of set A in U?",,,,,"(c) {2,5}"
What is the value of the determinant of the matrix ?? = ( 1 2 3 4 )?,,,,,(b) -2
Which of the following statements is true regarding the determinant of a matrix?,,,,,"(b) If two rows (or columns) of a matrix are identical, its determinant is zero."
"If A is a 3×3 matrix and its determinant is 5, what is the determinant of 2A?",,,,,(d) 40
Which of the following matrices has a determinant equal to zero?,,,,,(b) ?? = ( ?? ?? ?? ?? )
"What is the common difference in the arithmetic progression 2,5,8,11,…?",,,,,(b) 3
"In a geometric progression, if the first term is a and the common ratio is r, what is the formula for the n-th term?",,,,,(b) ???? ????
"If the first term of a geometric progression is 3 and the common ratio is 2, what is the 5th term?",,,,,(b) 48
In how many ways can 3 books be arranged on a shelf?,,,,,(a) 6
"In how many ways can the letters of the word ""BANANA"" be arranged?",,,,,(a) 60
"What is the number of ways to arrange the letters of the word ""SCHOOL""?",,,,,(a) 360
"If a password consists of 3 letters followed by 2 digits, how many different passwords can be formed?",,,,,(d) 676000
What is the unit of measurement for angles in the International System of Units (SI)?,,,,,(a) Radians
What is the probability of rolling a sum of 7 with two six-sided dice?,,,,,(a) ?? ?
What is the total number of possible outcomes when flipping a coin and rolling a six-sided die?,,,,,(b) 12
"If the probability of an event occurring is 0.3, what is the probability of the event not occurring?",,,,,(b) 0.7
"In a standard deck of 52 playing cards, what is the probability of drawing a heart?",,,,,(c) ?? ?
"A bag contains 3 red balls and 2 blue balls. If one ball is drawn at random, what is the probability that it is blue?",,,,,(a) ?? ?
