Question_Content,"Option 1
","Option 2
","Option 3
","Option 4
",Correct
"What is a key feature of modern database systems?
","Single-user access
","Multi-user access
","Data redundancy
","Manual data entry
","Multi-user access
"
"What ensures that data integrity is maintained in a multi
 user database?
","Data compression
","Concurrency control strategies
","Data duplication
","User authentication
","Concurrency control strategies
"
"How does a database ideally handle data redundancy?
","By eliminating it completely
","By minimizing it
","By increasing it
","By random placement
","By minimizing it
"
"What does data sharing allow in a database system?
","Restricted access
","Increased performance
","Improved information generation
","Data isolation
","Improved information generation
"
"What is a database constraint?
","A type of data format
","A user access level
","A rule for data entry
","A backup strategy
","A rule for data entry
"
"What type of access might a user have if they can only
 read data?
","Write access
","Read-only access
","Full access
","No access
","Read-only access
"
"What does data independence mean in a database?
","Separation of data and applications
","Data stored in multiple formats
","User-defined data structure
","Manual updates required
","Separation of data and applications
"
"What is the purpose of transaction processing in a DBMS?
","To encrypt data
","To ensure data consistency
","To delete old data
","To create backups
","To ensure data consistency
"
"What does the provision for multiple views of data allow?
","Limited user access
","Individual user experiences
","Restricted data visibility
","Data duplication
","Individual user experiences
"
"What do backup and recovery facilities protect against?
","Data loss
","Data entry errors
","Network failures
","Slow performance
","Data loss
"
"Who are the end users of a database?
","Database administrators
","People needing database access
","Application programmers
","Data analysts
","People needing database access
"
"What is the role of an application user?
","To design databases
","To run existing applications
","To manage database systems.
","To implement new programs
","To run existing applications
"
"Who are sophisticated users?
","Users with basic knowledge
","Users creating their own queries
","Users with limited access
","Users focused on data entry
","Users creating their own queries
"
"What do application programmers do?
","Manage database resources
","Access the database via menus
","Implement application programs
","Perform data entry
","Implement application programs
"
"What is the primary responsibility of a Database
 Administrator (DBA)?
","User training
","Database design
","Access authorization
","Data entry
","Access authorization
"
"What is one way a DBMS enforces integrity constraints?
","By deleting records
","By limiting data redundancy
","By ensuring valid data entry
","By allowing data duplication
","By ensuring valid data entry
"
"What can a user with read and write privileges do?
","Only read data
","Modify data
","View reports
","Access admin functions
","Modify data
"
"How does a database system allow for data integration?
","By using multiple formats
","By isolating data
","By centralizing data access
","By restricting access
","By centralizing data access
"
"What does a concurrency control subsystem do?
","Increases data redundancy
","Prevents data loss
","Maintains data consistency
","Deletes outdated records
","Maintains data consistency
"
"What type of access does a security subsystem in a DBMS
 provide?
","Unrestricted access
","Controlled access
","Limited access
","Temporary access
","Controlled access
"
"What is the primary role of a Data Administrator?
","Managing hardware
","Processing data
","Writing code
","Designing user interfaces
","Processing data
"
"Which title is also used for a Data Administrator?
","Data Manager
","Data Analyst
","Database Engineer
","Data Scientist
","Data Analyst
"
"What is one of the responsibilities of a Data
 Administrator?
","Writing software
","Monitoring data flow
","Performing network maintenance
","Managing hardware
","Monitoring data flow
"
"Which of the following is a skill required for a Database
 Administrator?
","Graphic design
","Troubleshooting
","Marketing
","Web development
","Troubleshooting
"
"What does a Database Administrator ensure regarding
 data?
","It is visually appealing
","It is outdated
","It is secure
","It is unstructured
","It is secure
"
"What is a key responsibility of a Database Administrator?
","Designing websites
","Creating and maintaining databases
","Managing hardware
","Writing reports
","Creating and maintaining databases
"
"What is essential for optimizing database performance?
","Database design
","User experience
","Networking
","Application testing
","Database design
"
"Who does a Data Administrator collaborate with to align
 data initiatives?
","Only IT staff
","Stakeholders across business units
","External vendors
","Marketing team
","Stakeholders across business units
"
"What is a primary function of a Data Administrator in an
 organization?
","Develop marketing strategies
","Analyze and break down data
","Conduct financial audits
","Manage employee schedules
","Analyze and break down data
"
"What is the role of a Database Administrator in terms of
 data integrity?
","To ensure data security
","To limit data access
","To delete unnecessary data
","To create user interfaces
","To ensure data security
"
"What type of skills do both DAs and DBAs require?
","Graphic design skills
","Advanced technical skills
","Basic programming skills
","Sales skills
","Advanced technical skills.
"
"What is a common requirement for both roles regarding
 data systems?
","Limited understanding
","Deep understanding
","No understanding
","Basic knowledge
","Deep understanding
"
"Why is communication important for both DAs and DBAs?
","To write reports
","To work with other IT professionals
","To sell software
","To design websites
","To work with other IT professionals
"
"What does ANSI-SPARC stand for?
","American National Standards Institute
 Standardized Procedures for
","American National Standards Institute


Strategic Planning for Architecture
","American National Standards Institute-
 Special Programming for Architecture
","American National Standards Institute
 Standardized Programming for
","American National Standards Institute - Standardized Procedures
 for Architecture
"
"What is the purpose of the three-level architecture?


What does the external level describe?
","To simplify data entry


Physical representation
","To separate user views from physical
 structure


User views of the database
","To eliminate data redundancy


Logical structure
","To enhance user interface.


Data encryption techniques
","To separate user views from physical structure


User views of the database
"
"How many external views can there be at the external
 level?
","Only one
","Two
","Several
","None
","Several
"
"What is represented at the conceptual level?
","Physical storage details
","User preferences
","Logical structure of the entire database
","Individual user data
","Logical structure of the entire database
"
"What type of information does the conceptual level
 include?
","Only numerical data
","Security and integrity information
","Hardware specifications
","User-generated content
","Security and integrity information
"
"What does the internal level focus on?
","User experience
","Physical implementation
","Data visualization
","Database design
","Physical implementation
"
"Which level of the architecture deals with storage space
 utilization?
","External level
","Conceptual level
","Internal level
","Logical level
","Internal level
"
"What is one objective of the three-level architecture?
","Reduce user access
","Enable personalized views.
","Increase redundancy
","Limit database size
","Enable personalized views
"
"Why is it important for different users to have different
 views of the same data?
","To confuse users
","To enhance security
","To meet user requirements
","To reduce data entry
","To meet user requirements
"
"What should users not worry about according to the
 architecture?
","User interface design
","Physical implementation
","Data processing
","Data retrieval
","Physical implementation
"
"Who can change the conceptual structure of the database
 without affecting users?
","End users
","Database Administrator (DBA)
","Software developers
","Network engineers
","Database Administrator (DBA)
"
"What is a key benefit of the three-level architecture?
","It requires less storage
","It allows multiple data formats
","It separates user views from physical
","It enhances data security
","It separates user views from physical structure
"
,,,"structure
",,
"What is the main aim of the three-level architecture?
","To store data redundantly
","To enhance user interfaces
","To separate user views from physical
 representation
","To restrict data access
","To separate user views from physical representation
"
"What happens if the internal structure of the database
 changes?
","It affects user views
","It should not affect users
","It changes the conceptual level
","It complicates the architecture
","It should not affect users
"
"What does the external view include for a user?
","All data in the database
","Only relevant data
","Technical data
","Backup data
","Only relevant data.
"
"What is an example of information represented at the
 conceptual level?
","User login details
","Data encryption algorithms
","Entities and relationships
","Backup procedures
","Entities and relationships
"
"Which aspect is emphasized at the internal level?
","User needs
","Physical implementation.
","Data analysis
","Database design
","Physical implementation
"
"What is one reason users might need different views of
 the same data?
","To reduce data redundancy
","Changing user requirements
","To increase data complexity
","To simplify data storage
","Changing user requirements
"
"What is the primary purpose of a database schema?
","To store raw data
","To define data organization
","To encrypt sensitive data
","To generate reports
","To define data organization
"
"What does the term ""schema"" refer to in a database
 context?
","Physical storage
","Data relationships
","Logical structure
","User permissions
","Logical structure
"
"Which level describes how data is stored physically?
","External level
","Logical level
","Physical level
","View level
","Physical level
"
"What type of database schema includes tables and
 relationships?
","Physical schema
","Logical schema
","View schema
","Abstract schema
","Logical schema
"
"Which database schema defines the logical constraints?
","View schema
","Logical schema
","Physical schema
","User schema
","Logical schema
"
"How does the physical schema impact a database?
","It defines user access
","It determines data relationships
","it specifies storage methods
","It creates user interfaces
","It specifies storage methods
"
"What command is used to create a schema in MySQL?
","CREATE DATABASE
","CREATE SCHEMA
","CREATE TABLE
","CREATE VIEW
","CREATE SCHEMA
"
"What does a view schema represent?
","User preferences
","Data encryption
","Data relationships
","Physical storage
","User preferences
"
"What is an advantage of a well-designed database
 schema?
","Increased redundancy
","Easier data retrieval
","Complicated design
","Slower performance
","Easier data retrieval
"
"Which model organizes data in a tree-like structure?
","Flat model
","Hierarchical model
","Network model
","Relational model
","Hierarchical model
"
"What is the key feature of the network model?
","One-to-many relationships
","Twodimensional -arrays
","Many-to-many relationships
","Hierarchical structure
","Many-to-many relationships
"
"What type of schema is primarily used for relational
 databases?
","Star schema
","Flat model
","Relational model
","Snowflake schema
","Relational model
"
"What does a star schema contain?
","Multiple fact tables
","A single fact table and dimension
 tables
","Only dimension tables
","No relationships
","A single fact table and dimension tables
"
"How does the snowflake schema differ from the star
 schema?
","It has no fact table
","It normalizes dimension tables.
","It eliminates dimension tables
","It uses more memory
","It normalizes dimension tables
"
"Which of the following is a key advantage of using a
 database schema?
","Data inconsistency
","Scalability
","Increased data redundancy
","Slower data retrieval
","Scalability
"
"What is the role of a database administrator regarding
 schemas?
","Designing user interfaces
","Monitoring data access
","Creating physical storage
","Analyzing user behavior
","Monitoring data access
"
"What type of schema allows end users to interact without
 technical knowledge?
","View schema
","Logical schema
","Physical schema
","Abstract schema
","View schema
"
"What command is used in Oracle to create a new
 schema?
","CREATE SCHEMA
","CREATE USER
","CREATE TABLE
","CREATE VIEW
","CREATE USER
"
"What is a flat model schema similar to?
","A tree structure
","two-dimensional array


A
","A network diagram
","A relational database
","A two-dimensional array
"
"What does the relational model primarily utilize for data
 storage?
","Spreadsheets
","Hierarchical structures
","Tables
","Flat files
","Tables
"
"Which schema type is better for analyzing large amounts
 of data?
","Flat model
","Hierarchical model
","Star schema
","Network model
","Star schema
"
"What does the term ""logical constraints"" refer to in a
 logical database schema?
","Data relationships
","User access levels
","Data formats
","Storage methods
","Data relationships
"
"Which schema design is best for small applications?
","Snowflake schema
","Flat model
","Relational model
","Hierarchical model
","Flat model
"
"What is a benefit of using a welldesigned -schema
 regarding data consistency?
","Inconsistent data
","Data duplication
","Data integrity
","Slower performance
","Data integrity
"
"Which of the following helps maintain scalability in a
 database?
","Data redundancy
","Schema design
","Lack of constraints
","Complicated queries
","Schema design
"
"What is a key function of the database schema in terms of
 security?


What is meant by ""data normalization"" in the context of
 database schema?
","Allows unrestricted access


Reducing data redundancy
","Prevents unauthorized access


Increasing data redundancy
","Eliminates data storage


Data backup
","Slows down data access


Data encryption
","Prevents unauthorized access
 Reducing


data redundancy
"
,,,,,
"Which type of database schema does not include data
 itself but focuses on how it's accessed?
","Physical schema
","Logical schema
","View schema
","Flat model
","View schema
"
"In which database system is ""CREATE SCHEMA"" used
 synonymously with ""CREATE DATABASE""?
","Oracle
","SQL Server
","MySQL
","PostgreSQL
","MySQL
"
"What is the main focus of the physical database schema?
","Data relationships
","User interaction
","Data storage
","Data quality
","Data storage
"
"What is the purpose of mapping in DBMS?
","To define data types
","To transform requests
","To create databases.
","To back up data
","To transform requests
"
"How many types of mappings are there in DBMS?
","One
","Two
","Three
","Four
","Two
"
"What does external-conceptual mapping define?
","Storage location
","User's external view
","Correspondence between views
","Data integrity
","Correspondence between views
"
"What does conceptual-internal mapping describe?
","User preferences
","Data retrieval methods
","How records are stored
","Data validation
","How records are stored
"
"Where is the mapping description stored?
","In the data dictionary.
","In external files
","In user documents
","In the application code
","In the data dictionary
"
"Which schema does a user refer to in DBMS?
","Internal schema
","Conceptual schema
","External schema
","All schemas
","External schema
"
"Who is responsible for managing changes in conceptual
 Internal mapping?
","End users
","Application developers
","Database Administrator (DBA)
","Data analysts
","Database Administrator (DBA)
"
"What happens if changes are made to an external view?
","Nothing
","Mapping must be changed
","The DBMS crashes
","The database is deleted
","Mapping must be changed
"
"What is conceptual schema transformation called?
","Data normalization
","Logical database design
","Schema creation
","Data integration
","Logical database design
"
"In which phase is the external schema for specific
 applications designed?
","Conceptual design
","Logical design
","Implementation phase
","Data retrieval
","Logical design
"
"Which type of mapping involves the physical
 representation of data?
","External-conceptual mapping
","Conceptual-internal mapping
","User mapping
","Logical mapping
","Conceptual-internal mapping
"
"What does the DBMS do with requests from an external
 level?
","Processes directly
","Transforms to conceptual view
","Ignores them
","Sends them to users
","Transforms to conceptual view
"
"What does external schema represent for a user?
","All database records
","User's specific view
","Internal database structure
","Data access methods
","User's specific view
"
"Which of the following is not a schema level in the three
 level architecture?
","External
","Conceptual
","Internal
","Temporary
","Temporary
"
"What is required if the structure of the stored database
 changes?
","Mapping must be maintained
","Mapping must be changed
","New schema creation
","No action needed
","Mapping must be changed
"
"How does the DBMS ensure data retrieval from the
 physical storage device?
","By defining external views
","Through mapping
","By user requests
","By direct access
","Through mapping
"
"What is the first level of mapping in DBMS?
","External-Conceptual
","Conceptual-Internal
","Internal-External
","External-Internal.
","External-Conceptual
"
"What must be updated if the conceptual view changes?
","Only the internal schema
","Only the external view
","Both external and conceptual
","Only the data dictionary
","Both external and conceptual
"
"Which of the following best describes the role of a DBA?
","User interface designer
","Application developer
","Manage database mappings
","Data entry specialist
","Manage database mappings
"
"What does the DBMS transform requests from external
 schemas into?
","Conceptual schemas
","User preferences
","Internal schemas
","Application schemas
","Internal schemas
"
"What does SQL stand for?
","Structured Query Language
","Simple Query Language
","Sequential Query Language
","Standard Query Language
","Structured Query Language
"
"What type of database does SQL manage?
","NoSQL databases
","Hierarchical databases
","Relational databases
","Object-oriented databases
","Relational databases
"
"?


Which command is used to create a new table in SQL
","INSERT
","CREATE
","UPDATE
","DELETE
","CREATE
"
"What does DDL stand for?
","Data Definition Language
","Data Description Language
","Data Development Language.
","Data Deployment Language.
","Data Definition Language
"
"Which of the following is a DDL command?
","SELECT
","INSERT
","CREATE
","UPDATE
","CREATE
"
"What is the purpose of the ALTER command?
","To delete a table
","To modify a table structure
","To create a new table
","To query data
","To modify a table structure
"
"What does DML stand for?
","Data Manipulation Language
","Data Management Language
","Data Monitoring Language
","Data Model Language
","Data Manipulation Language
"
"Which of the following can SQL do?
","Execute queries against a database
","Visualize data
","Create graphics
","Send emails
","Execute queries against a database
"
"What is the role of Data Control Language (DCL)?
","To manipulate data
","To define data structures
","To control access to data
","To query data
","To control access to data
"
"Which command is used to drop a table?
","DELETE
","REMOVE
","DROP
","TRUNCATE
","DROP
"
"Which statement is used to retrieve data in SQL?
","FETCH
","SELECT
","GET
","RETRIEVE
","SELECT
"
"Which SQL command is used to update existing records?
","UPDATE
","MODIFY
","CHANGE
","ALTER
","UPDATE
"
"What is a primary key?
","A unique identifier for a table
","A foreign key
","A secondary identifier
","A composite key
","A unique identifier for a table
"
"Which of the following is a type of SQL statement?
","GET
","SET
","EXECUTE
","SELECT
","SELECT
"
"What does a view in SQL do?
","Stores data permanently
","Represents a virtual table
","Deletes data
","Indexes data
","Represents a virtual table
"
"Which of the following databases does NOT use SQL?
","MySQL
","Oracle
","MongoDB
","SQL Server
","MongoDB
"
"What is the purpose of the CREATE command?
","To modify an existing table
","To delete a table
","To create a new table
","To query a database
","To create a new table
"
"What does the TRUNCATE command do?
","Removes all records from a table
","Deletes a table
","Updates records
","Creates a table
","Removes all records from a table
"
"Which command is used to set permissions in SQL?
","ALLOW
","GRANT
","PERMIT
","SET
","GRANT
"
"What is a stored procedure?
","A permanent database
","A set of SQL commands
","A table
","A view
","A set of SQL commands
"
"Which SQL command is used to delete records?
","REMOVE
","DELETE
","DROP
","TRUNCATE
","DELETE
"
"What type of language is SQL considered?
","Procedural
","Markup
","Query
","Scripting
","Query
"
"Which of the following SQL commands is used to create a
 database?
","CREATE DATABASE
","NEW DATABASE
","MAKE DATABASE
","ADD DATABASE
","CREATE DATABASE
"
"What does the acronym RDBMS stand for?
","Relational Data Backup Management
 System
","Relational Database Management
 System
","Remote Database Management System
","Rapid Database Management System
","Relational Database Management System
"
"Which SQL command is used to change the structure of
 an existing database object?
","CHANGE
","MODIFY
","ALTER
","UPDATE
","ALTER
"
"What is the function of a query engine in SQL?
","To create tables
","To optimize queries
","To interpret SQL commands
","To store data
","To interpret SQL commands
"
"What is a foreign key?


What SQL command can be used to combine data from
 two tables?


Which SQL command is used to rename a table?


What is the main advantage of using SQL?
","A unique identifier


COMBINE


RENAME


It is a low-level language
","A key used in a different table


JOIN


CHANGE NAME


It allows complex queries
","A primary key


MERGE


ALTER


It requires no training
","An index


UNITE


MODIFY


It is only for small databases
","A key used in a different table
 JOIN
 RENAME
 It allows complex queries




"
,,,,,
"What does a schema define in SQL?
","The database structure
","Data types only
","Database users
","Stored procedures
","The database structure
"
"What command is used to remove an existing table along
 with its data?
","REMOVE
","DELETE
","TRUNCATE
","DROP
","DROP
"
"Which SQL command is used to change the name of a
 table?
","CHANGE
","RENAME
","MODIFY
","ALTER
","RENAME
"
"What does the ALTER command allow you to do?
","Add or modify columns
","Delete a table
","Copy a table
","View table data
","Add or modify columns
"
"Which.command is used to define the structure of a
 database?
","REMOVE
","UPDATE
","CREATE
","SELECT
","CREATE
"
"What is the purpose of the DROP command in SQL?
","To permanently delete a table
","To temporarily delete a table
","To backup a table
","To restore a table
","To permanently delete a table
"
"What is the DUAL table in Oracle?
","A two-column table
","A one-row, one-column table
","A built-in function
","A data type
","A one-row, one-column table
"
"What is the value in the DUMMY column of DUAL?
","Y
",,,"A
","X
"
"Can the DUAL table be created by users in Oracle?
","Yes
","No
","Only in certain conditions
","Only by DBA
","No
"
"What SQL function can be used with DUAL to get the
 current date?
","GETDATE()
","NOW()
","SYSDATE
","CURRENT DATE
","SYSDATE
"
"Which operation can be performed using DUAL?
","Creating tables
","Mathematical calculations
","Data definition
","User management
","Mathematical calculations
"
"What keyword can be used with DUAL to generate unique
 values?
","DISTINCT
","UNIQUE
","ROWNUM
","LIMIT
","ROWNUM
"
"Which SQL command is used to select a constant value
 from DUAL?
","SELECT FROM DUAL
","SELECT CONSTANT FROM DUAL
","SELECT 'Value' FROM DUAL
","SELECT ALL FROM DUAL
","SELECT 'Value' FROM DUAL
"
"Which of the following is NOT an operation you can
 perform with DUAL?
","String concatenation
","Aggregate functions
","Indexing
","Date and time operations
","Indexing
"
"What does the query 'SELECT 2+3 FROM DUAL return?
","2
","3
","5
",,"5
"
"Can DUAL be used for performing conditional statements?
","Yes
","No
","Only in certain cases
","Only for aggregate functions
","Yes
"
"What type of product can be created with DUAL?
","Inner Join
","Outer Join
","Cartesian Product
","Self Join
","Cartesian Product
"
"Which SQL operator is used for string concatenation in
 DUAL?
",,,,"#ERROR!
","&
"
"What does the DUAL table primarily serve as?
","A temporary table
","A built-in function
","A result holder
","A data store
","A built-in function
"
"Which SQL command can you use to perform arithmetic
 operations on DUAL?
","SELECT
","EXECUTE
","INSERT
","UPDATE
","SELECT
"
"What is the data type of the DUMMY column in the DUAL
 table?
","VARCHAR(1)
","INT
","CHAR(1)
","TEXT
","VARCHAR(1)
"
"How many rows does the DUAL table contain?
","One
","Two
","Multiple
","None
","One
"
"What happens if you try to create DUAL in a database that
 aiready has it?
","ERROR
","Duplicate Table
","Table Created
","No Change
","ERROR
"
"Which SQL command is used to perform date operations
 with DUAL?
","SELECT SYSDATE
","GETDATE()
","CURRENT DATE
","INSERT
","SELECT SYSDATE
"
"What is a common use of DUAL in SQL?
","Data storage
","Performing calculations
","Index creation
","User authentication
","Performing calculations
"
"Can DUAL be used for aggregate functions?
","Yes
","No
","Only in certain conditions
","Only with specific queries
","Yes
"
"What SQL function can you use to concatenate strings in
 DUAL?
","CONCATENATE
","JOIN
",,,
"Which of the following can be returned from DUAL?
","A row count
","A unique identifier
","A constant value
","A table structure
","A constant value
"
"Is DUAL a user-created table in Oracle?
","Yes
","No
","Only by specific users
","Only for testing
","No
"
"Which SQL operation can return the result of a
 mathematical expression?
","SELECT
","INSERT
","UPDATE
","DELETE
","SELECT
"
"How can DUAL help in performing string operations?
","By storing strings
","By concatenating strings
","By limiting string length
","By encrypting strings
","By concatenating strings
"
"What is the purpose of the DUAL table?
","To store user data
","To perform calculations
","To hold temporary results
","To manage database users
","To perform calculations
"
"What kind of operations can DUAL perform with date
 data?
","Arithmetic only
","Only comparison
","Date and time operations
","None
","Date and time operations
"
"Which SQL clause can be used to filter results from DUAL?
","WHERE
","ORDER BY
","GROUP BY
","LIMIT
","WHERE
"
"How does DUAL simplify SQL queries?
","By limiting query options
","By providing a single-row table
","By enhancing security
","By automating data entry
","By providing a single-row table
"
